,Stock,Date,<0%,>0<3,>3<5,>5<10,>10<20,>20<30,>30<40,>40<50,>50<75,>75
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1328569200.0,0.41,0.03,0.01,0.04,0.02,0.04,0.01,0.2,0.11,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1328569200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1328569200.0,0.24,0.18,0.03,0.06,0.06,0.02,0.01,0.18,0.2,0.01
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1328569200.0,0.24,0.1,0.02,0.03,0.02,0.06,0.03,0.11,0.14,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1328569200.0,0.3722992327365729,0.020468030690537084,0.02,0.032232736572890025,0.12029411764705883,0.16,0.05,0.06,0.1,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1328569200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1328569200.0,0.24,0.08,0.02,0.02,0.06,0.05,0.03,0.19,0.27,0.01
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1328569200.0,0.37,0.32,0.01,0.06,0.1,0.0,0.01,0.06,0.06,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1328655600.0,0.41,0.05,0.02,0.03,0.09,0.06,0.03,0.05,0.08,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1328655600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1328655600.0,0.08349397590361446,0.1119277108433735,0.08120481927710843,0.06204819277108434,0.2103614457831325,0.18,0.03,0.02,0.1806024096385542,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1328655600.0,0.2,0.04,0.02,0.03,0.05,0.06,0.0,0.03,0.04,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1328655600.0,0.07,0.04,0.03,0.08,0.3211111111111111,0.1,0.01,0.05,0.12,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1328655600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1328655600.0,0.11,0.02,0.0,0.11,0.15,0.1,0.07,0.08,0.25,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1328655600.0,0.033493975903614456,0.06192771084337349,0.04120481927710843,0.09204819277108435,0.14036144578313253,0.18,0.02,0.01,0.020602409638554215,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1328742000.0,0.51,0.08,0.01,0.03,0.05,0.02,0.01,0.05,0.07,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1328742000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1328742000.0,0.13,0.12,0.08,0.09,0.22,0.13,0.03,0.02,0.14,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1328742000.0,0.22,0.02,0.0,0.03,0.09,0.09,0.02,0.02,0.09,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1328742000.0,0.08,0.03,0.05,0.1,0.2911111111111111,0.09,0.02,0.05,0.12,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1328742000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1328742000.0,0.1,0.03,0.0,0.11,0.15,0.11,0.07,0.06,0.26,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1328742000.0,0.033493975903614456,0.05192771084337349,0.061204819277108434,0.09204819277108435,0.09036144578313252,0.18,0.02,0.0,0.030602409638554217,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1328828400.0,0.6,0.06,0.01,0.01,0.04,0.02,0.03,0.06,0.04,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1328828400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1328828400.0,0.17,0.1,0.05,0.09,0.2,0.11,0.04,0.03,0.14,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1328828400.0,0.17,0.09,0.02,0.03,0.05,0.03,0.03,0.02,0.04,0.01
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1328828400.0,0.08,0.02,0.04,0.09,0.3111111111111111,0.12,0.01,0.06,0.11,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1328828400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1328828400.0,0.07,0.07,0.0,0.12,0.2,0.1,0.08,0.04,0.2,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1328828400.0,0.03,0.06,0.02,0.06,0.1,0.12,0.01,0.01,0.01,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1329087600.0,0.55,0.05,0.01,0.02,0.04,0.02,0.02,0.04,0.05,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1329087600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1329087600.0,0.16,0.08,0.05,0.08,0.19,0.15,0.04,0.04,0.13,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1329087600.0,0.15,0.06,0.01,0.02,0.06,0.01,0.05,0.0,0.07,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1329087600.0,0.08,0.03,0.02,0.08,0.33111111111111113,0.12,0.01,0.05,0.13,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1329087600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1329087600.0,0.09,0.04,0.0,0.13,0.17,0.09,0.09,0.05,0.24,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1329087600.0,0.02,0.06,0.02,0.06,0.08,0.12,0.01,0.0,0.03,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1329174000.0,0.65,0.06,0.02,0.01,0.04,0.01,0.03,0.06,0.04,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1329174000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1329174000.0,0.16,0.11,0.06,0.06,0.18,0.16,0.05,0.02,0.12,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1329174000.0,0.15,0.04,0.01,0.04,0.04,0.02,0.05,0.02,0.06,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1329174000.0,0.07,0.03,0.04,0.04,0.32,0.16,0.02,0.06,0.08,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1329174000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1329174000.0,0.07,0.08,0.0,0.13,0.16,0.09,0.08,0.05,0.25,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1329174000.0,0.02,0.06,0.03,0.07,0.06,0.13,0.01,0.0,0.02,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1329260400.0,0.53,0.05,0.02,0.03,0.04,0.03,0.03,0.08,0.04,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1329260400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1329260400.0,0.08,0.13,0.1,0.07,0.17,0.15,0.04,0.02,0.12,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1329260400.0,0.11,0.06,0.01,0.03,0.0956,0.0332,0.0704,0.0,0.0808,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1329260400.0,0.08,0.03,0.02,0.06,0.3111111111111111,0.14,0.02,0.05,0.09,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1329260400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1329260400.0,0.08,0.07,0.04,0.13,0.13,0.1,0.08,0.05,0.24,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1329260400.0,0.02,0.07,0.02,0.06,0.08,0.12,0.01,0.0,0.02,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1329346800.0,0.41,0.07,0.05,0.0,0.06,0.02,0.04,0.04,0.07,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1329346800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1329346800.0,0.02,0.14,0.07,0.13,0.27,0.15,0.04,0.01,0.11,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1329346800.0,0.14,0.02,0.0,0.02,0.055600000000000004,0.0132,0.0304,0.0,0.0808,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1329346800.0,0.02,0.02,0.03,0.05,0.0811111111111111,0.28,0.02,0.05,0.1,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1329346800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1329346800.0,0.09,0.03,0.0,0.15,0.16,0.09,0.07,0.07,0.26,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1329346800.0,0.02,0.07,0.01,0.06,0.08,0.12,0.01,0.0,0.02,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1329433200.0,0.34,0.07,0.06,0.06,0.05,0.03,0.04,0.05,0.04,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1329433200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1329433200.0,0.09066666666666666,0.10333333333333332,0.06,0.09266666666666666,0.23,0.13133333333333333,0.03,0.030666666666666665,0.08,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1329433200.0,0.16,0.02,0.0,0.05,0.015600000000000001,0.023200000000000002,0.0404,0.0,0.0808,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1329433200.0,0.02,0.02,0.02,0.07,0.07111111111111111,0.18,0.02,0.05,0.1,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1329433200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1329433200.0,0.07,0.04,0.0,0.1,0.19,0.06,0.06,0.06,0.28,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1329433200.0,0.02,0.07,0.02,0.05,0.08,0.12,0.01,0.0,0.02,0.0
0,"Kloeckner, KCO.F, Frankfurt Stock Exchange",1329692400.0,0.39,0.1,0.01,0.03,0.06,0.01,0.02,0.04,0.07,0.0
1,"Infineon, IFX.F, Frankfurt Stock Exchange",1329692400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Gea Group, G1A.F, Frankfurt Stock Exchange",1329692400.0,0.06,0.18,0.1,0.06,0.16,0.16,0.03,0.04,0.09,0.0
3,"H&r, 2HR.F, Frankfurt Stock Exchange",1329692400.0,0.15,0.04,0.0,0.03,0.0456,0.0132,0.0304,0.0,0.0808,0.0
4,"Amadeus Fire Ag, AAD.F, Frankfurt Stock Exchange",1329692400.0,0.03,0.04,0.01,0.07,0.05111111111111111,0.05,0.01,0.04,0.11,0.0
5,"Carl Zeiss Meditec, AFK.F, Frankfurt Stock Exchange",1329692400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Adva Optical Networking, ADV.F, Frankfurt Stock Exchange",1329692400.0,0.09,0.06,0.01,0.05,0.16,0.08,0.06,0.14,0.24,0.0
7,"Airbus Group, AIR.F, Frankfurt Stock Exchange",1329692400.0,0.02,0.08,0.01,0.04,0.07,0.12,0.01,0.0,0.02,0.0
